aprobacion_presidencial,word,n
Desaprueba,politica,148.45514
Desaprueba,promesas,121.25305
Desaprueba,gobierno,115.90569
Desaprueba,gusta,88.63153
Desaprueba,empleo,85.35589
Desaprueba,economia,82.17309
Desaprueba,educacion,78.92136
Desaprueba,delincuencia,69.75144
Desaprueba,leyes,62.253
Desaprueba,salud,57.88986
Desaprueba,falta,51.41244
Desaprueba,gestion,50.5342
Desaprueba,sueldos,50.04664
Desaprueba,cumplido,44.66392
Desaprueba,empresas,43.75234
Desaprueba,inmigracion,43.14088
Desaprueba,forma,40.30013
Desaprueba,presidente,37.72158
Desaprueba,cambio,37.22059
Desaprueba,reformas,36.14302
Desaprueba,empresariado,34.541
Desaprueba,mala,32.41907
Desaprueba,manejo,32.13715
Desaprueba,siento,30.70968
Desaprueba,jubilacion,30.43673
Desaprueba,ministro,30.00925
Desaprueba,personas,29.52407
Desaprueba,sociales,28.11278
Desaprueba,problemas,27.14666
Desaprueba,cumple,26.9637
Desaprueba,veo,26.10076
Desaprueba,clase,25.14164
Desaprueba,social,25.07594
Desaprueba,proyecto,24.94405
Desaprueba,quintero,24.4942
Desaprueba,iba,22.87108
Desaprueba,persona,20.79567
Desaprueba,minimo,20.37859
Desaprueba,derechos,19.4176
Desaprueba,ve,18.69022
Desaprueba,plata,18.57392
Desaprueba,99,18.53854
Desaprueba,visto,18.4516
Desaprueba,laboral,18.01539
Desaprueba,campaña,17.80837
Desaprueba,pobre,16.92871
Desaprueba,derecha,16.71672
Desaprueba,decision,14.73546
Desaprueba,pueblo,14.71562
Desaprueba,cosa,14.67323
Desaprueba,genero,14.5606
Desaprueba,problema,14.11898
Desaprueba,media,13.64061
Desaprueba,ricos,13.57881
Desaprueba,chile,13.43107
Desaprueba,tributaria,13.26435
Desaprueba,araucania,13.19901
Desaprueba,aumento,12.81568
Desaprueba,medidas,12.75141
Desaprueba,beneficios,12.74018
Desaprueba,malo,12.68783
Desaprueba,seguridad,12.62421
Desaprueba,empresario,12.29762
Desaprueba,desapruebo,12.29449
