aprobacion_presidencial,edad,word,n
Aprueba,35-54,economia,95.51245
Aprueba,18-34,economia,77.07382
Aprueba,55 o+,economia,63.1152
Aprueba,35-54,gobierno,55.74499
Aprueba,18-34,inmigracion,51.68471
Aprueba,35-54,inmigracion,36.5101
Aprueba,18-34,gobierno,35.65664
Aprueba,35-54,gusta,32.95367
Aprueba,55 o+,gobierno,31.57808
Aprueba,18-34,politica,30.22503
Aprueba,35-54,gestion,29.61291
Aprueba,18-34,gestion,28.36214
Aprueba,18-34,cambio,26.25997
Aprueba,35-54,politica,25.18516
Aprueba,55 o+,delincuencia,22.24947
Aprueba,55 o+,politica,21.90125
Aprueba,18-34,gusta,21.43607
Aprueba,35-54,presidente,20.30273
Aprueba,18-34,99,20.01473
Aprueba,18-34,leyes,19.72073
Aprueba,55 o+,gusta,19.577
Aprueba,35-54,cambio,18.56169
Aprueba,18-34,presidente,16.91915
Aprueba,55 o+,inmigracion,16.04101
Aprueba,55 o+,presidente,15.91868
Aprueba,55 o+,tratando,15.11309
Aprueba,35-54,educacion,15.06486
Aprueba,35-54,delincuencia,14.86845
Aprueba,18-34,empleo,14.74418
Aprueba,55 o+,empleo,13.6293
Aprueba,18-34,educacion,13.57623
Aprueba,55 o+,gestion,13.13423
Aprueba,18-34,proyecto,12.87681
Aprueba,55 o+,cambio,12.87352
Aprueba,35-54,seguridad,12.72196
Aprueba,55 o+,leyes,11.92661
Aprueba,55 o+,orden,11.92123
Aprueba,35-54,orden,11.84728
Aprueba,35-54,proyecto,11.6188
Aprueba,35-54,ve,11.4424
Aprueba,35-54,empleo,11.37717
Aprueba,18-34,reformas,11.34911
Aprueba,35-54,estabilidad,10.96704
Aprueba,55 o+,seguridad,10.96023
Aprueba,18-34,visto,10.7015
Aprueba,35-54,reformas,10.64993
Aprueba,55 o+,estabilidad,10.49203
Aprueba,35-54,persona,10.45835
Aprueba,55 o+,persona,10.37609
Aprueba,35-54,promesas,10.32413
Aprueba,35-54,visto,10.24224
Aprueba,35-54,nivel,10.22807
Aprueba,55 o+,promesas,9.92534
Aprueba,55 o+,mejorar,9.86277
Aprueba,35-54,ideas,9.8232
Aprueba,35-54,manejo,9.82014
Aprueba,18-34,aumento,9.52193
Aprueba,35-54,echo,9.48876
Aprueba,35-54,media,9.43458
