aprobacion_presidencial,edad,word,n
Desaprueba,35-54,politica,64.88614
Desaprueba,18-34,politica,61.83787
Desaprueba,55 o+,promesas,47.01586
Desaprueba,35-54,gobierno,45.01314
Desaprueba,18-34,educacion,43.55996
Desaprueba,35-54,promesas,40.89964
Desaprueba,18-34,gobierno,40.58355
Desaprueba,18-34,empleo,38.86607
Desaprueba,18-34,gusta,38.08506
Desaprueba,35-54,gusta,35.88803
Desaprueba,18-34,economia,33.90717
Desaprueba,18-34,leyes,33.68589
Desaprueba,18-34,promesas,33.33755
Desaprueba,55 o+,gobierno,30.309
Desaprueba,35-54,economia,29.6198
Desaprueba,55 o+,delincuencia,27.92729
Desaprueba,35-54,delincuencia,26.38868
Desaprueba,35-54,empleo,26.29096
Desaprueba,35-54,salud,26.14955
Desaprueba,35-54,falta,25.29674
Desaprueba,18-34,gestion,24.55314
Desaprueba,35-54,inmigracion,24.40038
Desaprueba,18-34,reformas,22.94448
Desaprueba,55 o+,politica,21.73113
Desaprueba,18-34,presidente,21.24594
Desaprueba,35-54,leyes,20.9773
Desaprueba,55 o+,jubilacion,20.45046
Desaprueba,18-34,falta,20.37653
Desaprueba,55 o+,empleo,20.19886
Desaprueba,35-54,sueldos,19.79437
Desaprueba,35-54,educacion,19.78801
Desaprueba,18-34,forma,18.84081
Desaprueba,35-54,gestion,18.75633
Desaprueba,55 o+,economia,18.64612
Desaprueba,18-34,salud,16.91437
Desaprueba,18-34,siento,16.80697
Desaprueba,18-34,empresas,16.36412
Desaprueba,55 o+,sueldos,16.18439
Desaprueba,35-54,cumplido,15.72862
Desaprueba,18-34,cumplido,15.66576
Desaprueba,55 o+,educacion,15.57339
Desaprueba,18-34,delincuencia,15.43547
Desaprueba,35-54,empresariado,14.90189
Desaprueba,55 o+,salud,14.82594
Desaprueba,18-34,ministro,14.73126
Desaprueba,35-54,cumple,14.72244
Desaprueba,18-34,cambio,14.67417
Desaprueba,55 o+,gusta,14.65844
Desaprueba,35-54,empresas,14.6422
Desaprueba,35-54,manejo,14.47553
Desaprueba,18-34,sociales,14.37743
Desaprueba,18-34,sueldos,14.06788
Desaprueba,18-34,personas,13.90664
Desaprueba,18-34,problemas,13.8044
Desaprueba,18-34,mala,13.59461
Desaprueba,18-34,manejo,13.50574
Desaprueba,55 o+,cumplido,13.26954
Desaprueba,18-34,inmigracion,13.23058
Desaprueba,55 o+,empresas,12.74602
Desaprueba,35-54,mala,12.4815
Desaprueba,35-54,sociales,12.21595
Desaprueba,35-54,cambio,12.18263
Desaprueba,35-54,veo,12.17074
Desaprueba,35-54,presidente,12.03793
Desaprueba,18-34,proyecto,11.69085
Desaprueba,18-34,empresariado,11.66856
Desaprueba,18-34,persona,11.65915
Desaprueba,18-34,99,11.65356
Desaprueba,18-34,iba,11.59339
Desaprueba,35-54,reformas,11.3466
Desaprueba,35-54,clase,11.12107
Desaprueba,55 o+,forma,10.97656
Desaprueba,18-34,decision,10.90741
Desaprueba,35-54,ministro,10.88923
Desaprueba,18-34,quintero,10.6121
Desaprueba,35-54,forma,10.48276
Desaprueba,55 o+,cambio,10.36379
Desaprueba,18-34,pueblo,10.29416
Desaprueba,18-34,clase,9.86271
Desaprueba,35-54,laboral,9.7308
Desaprueba,18-34,visto,9.70208
Desaprueba,55 o+,iba,9.67464
Desaprueba,35-54,quintero,9.62387
Desaprueba,35-54,social,9.54016
Desaprueba,55 o+,pobre,9.43582
Desaprueba,18-34,derechos,9.27825
Desaprueba,55 o+,social,9.10448
Desaprueba,35-54,proyecto,9.00926
Desaprueba,18-34,desapruebo,8.99927
Desaprueba,35-54,seguridad,8.89402
Desaprueba,55 o+,malo,8.67503
Desaprueba,18-34,chile,8.53688
Desaprueba,55 o+,personas,8.43184
Desaprueba,18-34,tributaria,8.42798
Desaprueba,18-34,medidas,8.38655
Desaprueba,18-34,araucania,8.38627
Desaprueba,18-34,està,8.00003
Desaprueba,35-54,plata,7.97821
Desaprueba,55 o+,empresariado,7.97055
Desaprueba,55 o+,cosa,7.84047
Desaprueba,35-54,oportunidades,7.76553
Desaprueba,55 o+,minimo,7.69627
Desaprueba,18-34,ve,7.64435
Desaprueba,18-34,aumento,7.60974
Desaprueba,35-54,siento,7.60755
Desaprueba,55 o+,leyes,7.58981
Desaprueba,55 o+,bono,7.54299
Desaprueba,35-54,derechos,7.32692
Desaprueba,35-54,media,7.28843
