aprobacion_presidencial,tendencia,word,n
Aprueba,Centro Derecha / Derecha,economia,133.29328
Aprueba,Centro Derecha / Derecha,gobierno,73.86343
Aprueba,Centro Derecha / Derecha,inmigracion,48.67234
Aprueba,Centro Derecha / Derecha,politica,48.08085
Aprueba,Centro Derecha / Derecha,gusta,47.14523
Aprueba,Ninguno / Independiente,economia,43.80476
Aprueba,Centro Derecha / Derecha,gestion,41.73392
Aprueba,Ninguno / Independiente,inmigracion,35.78621
Aprueba,Centro,economia,35.77988
Aprueba,Centro Derecha / Derecha,cambio,28.71352
Aprueba,Ninguno / Independiente,gobierno,28.2021
Aprueba,Centro Derecha / Derecha,presidente,24.41896
Aprueba,Centro Derecha / Derecha,empleo,23.46591
Aprueba,Centro Izquierda / Izquierda,economia,22.82355
Aprueba,Centro Derecha / Derecha,delincuencia,22.28098
Aprueba,Centro Derecha / Derecha,derecha,21.93714
Aprueba,Centro Derecha / Derecha,seguridad,20.28408
Aprueba,Ninguno / Independiente,presidente,20.25608
Aprueba,Centro Derecha / Derecha,persona,19.17747
Aprueba,Centro Derecha / Derecha,educacion,18.89973
Aprueba,Centro Derecha / Derecha,orden,18.37654
Aprueba,Centro Derecha / Derecha,reformas,18.20343
Aprueba,Centro Derecha / Derecha,proyecto,18.14609
Aprueba,Ninguno / Independiente,gusta,17.82784
Aprueba,Ninguno / Independiente,gestion,17.63852
Aprueba,Ninguno / Independiente,cambio,17.4857
Aprueba,Centro Derecha / Derecha,estabilidad,17.26814
Aprueba,Centro Derecha / Derecha,leyes,17.14662
Aprueba,Ninguno / Independiente,politica,15.38365
Aprueba,Centro Derecha / Derecha,empresas,15.23257
Aprueba,Ninguno / Independiente,leyes,15.19711
Aprueba,Centro Derecha / Derecha,forma,14.39872
Aprueba,Centro Derecha / Derecha,confianza,13.8977
Aprueba,Centro Derecha / Derecha,manejo,13.47584
Aprueba,Centro Derecha / Derecha,ideas,13.43023
Aprueba,Centro,gobierno,13.40705
Aprueba,Centro Derecha / Derecha,personas,13.05166
Aprueba,Centro Derecha / Derecha,promesas,12.66882
Aprueba,Centro Derecha / Derecha,salud,12.5943
Aprueba,Ninguno / Independiente,99,12.34703
Aprueba,Centro Derecha / Derecha,visto,12.21618
Aprueba,Centro Derecha / Derecha,chile,11.69151
Aprueba,Centro Derecha / Derecha,piñera,11.61176
Aprueba,Centro Derecha / Derecha,medidas,11.57825
Aprueba,Ninguno / Independiente,empleo,11.21992
Aprueba,Ninguno / Independiente,tratando,11.05842
Aprueba,Centro Derecha / Derecha,tributaria,11.01767
Aprueba,Centro Izquierda / Izquierda,99,10.74464
Aprueba,Centro Izquierda / Izquierda,inmigracion,10.72812
Aprueba,Centro Derecha / Derecha,izquierda,10.07565
Aprueba,Centro Derecha / Derecha,tratando,9.89361
Aprueba,Ninguno / Independiente,proyecto,9.88812
Aprueba,Centro Derecha / Derecha,ve,9.84492
Aprueba,Ninguno / Independiente,hombre,9.63986
Aprueba,Centro Derecha / Derecha,años,9.30993
Aprueba,Centro Derecha / Derecha,problemas,9.28723
Aprueba,Ninguno / Independiente,ayuda,9.14102
Aprueba,Centro Derecha / Derecha,social,9.10769
Aprueba,Centro,inmigracion,9.04915
Aprueba,Centro Derecha / Derecha,99,9.02792
Aprueba,Ninguno / Independiente,delincuencia,9.02419
Aprueba,Centro Derecha / Derecha,empresariado,8.96108
Aprueba,Centro Derecha / Derecha,aumento,8.49355
Aprueba,Centro Derecha / Derecha,crecimiento,8.35159
Aprueba,Ninguno / Independiente,mejorado,8.279
Aprueba,Centro Derecha / Derecha,realidad,8.2255
Aprueba,Centro Derecha / Derecha,nivel,8.18234
Aprueba,Centro Derecha / Derecha,considero,8.06235
Aprueba,Centro,politica,8.05544
Aprueba,Centro Izquierda / Izquierda,delincuencia,8.00331
Aprueba,Centro Derecha / Derecha,partido,7.98558
Aprueba,Ninguno / Independiente,educacion,7.91128
Aprueba,Centro Derecha / Derecha,mejorado,7.8611
Aprueba,Centro Derecha / Derecha,oportunidades,7.80851
Aprueba,Ninguno / Independiente,ve,7.779
Aprueba,Ninguno / Independiente,ideas,7.62791
Aprueba,Centro Izquierda / Izquierda,gobierno,7.50713
Aprueba,Ninguno / Independiente,empresas,7.50196
Aprueba,Centro Derecha / Derecha,darle,7.44354
Aprueba,Centro Derecha / Derecha,bachelet,7.41432
Aprueba,Ninguno / Independiente,nivel,7.40972
Aprueba,Centro Derecha / Derecha,mejorar,7.35076
Aprueba,Centro,tratando,7.23178
Aprueba,Centro Derecha / Derecha,media,7.23138
Aprueba,Centro Derecha / Derecha,clase,7.20485
Aprueba,Centro Izquierda / Izquierda,gestion,7.18266
Aprueba,Centro Derecha / Derecha,año,7.09157
Aprueba,Ninguno / Independiente,ayudar,7.0796
Aprueba,Ninguno / Independiente,dando,7.07254
Aprueba,Centro Derecha / Derecha,familia,7.01115
Aprueba,Centro Derecha / Derecha,sueldos,6.97172
Aprueba,Centro Izquierda / Izquierda,presidente,6.93036
Aprueba,Centro Derecha / Derecha,empresario,6.92163
Aprueba,Centro Derecha / Derecha,echo,6.91679
Aprueba,Centro Derecha / Derecha,importante,6.79259
Aprueba,Centro Derecha / Derecha,situacion,6.76473
Aprueba,Centro Derecha / Derecha,llevado,6.63449
Aprueba,Centro Derecha / Derecha,inversion,6.60918
Aprueba,Ninguno / Independiente,piñera,6.58028
Aprueba,Ninguno / Independiente,echo,6.57358
Aprueba,Ninguno / Independiente,empresariado,6.55841
Aprueba,Ninguno / Independiente,seguridad,6.49856
Aprueba,Centro,cambio,6.47396
Aprueba,Ninguno / Independiente,inteligente,6.27717
Aprueba,Centro Derecha / Derecha,jubilacion,6.27543
Aprueba,Centro Derecha / Derecha,corto,6.27447
Aprueba,Ninguno / Independiente,mejorar,6.22408
Aprueba,Centro Derecha / Derecha,vote,6.01519
Aprueba,Centro Derecha / Derecha,mayores,6.00432
Aprueba,Centro Derecha / Derecha,fuentes,5.9962
Aprueba,Centro Derecha / Derecha,pienso,5.99269
Aprueba,Centro Derecha / Derecha,mano,5.99215
Aprueba,Centro Derecha / Derecha,apoyo,5.98913
Aprueba,Centro Derecha / Derecha,programa,5.88223
Aprueba,Ninguno / Independiente,laboral,5.86836
Aprueba,Centro Izquierda / Izquierda,promesas,5.82568
Aprueba,Centro Izquierda / Izquierda,politica,5.7915
Aprueba,Ninguno / Independiente,aca,5.78511
Aprueba,Centro,proyecto,5.76694
Aprueba,Centro Derecha / Derecha,edad,5.75093
Aprueba,Centro Derecha / Derecha,decision,5.68037
Aprueba,Ninguno / Independiente,visto,5.67991
Aprueba,Centro,educacion,5.67613
Aprueba,Centro Derecha / Derecha,hombre,5.64576
Aprueba,Centro Derecha / Derecha,periodo,5.61158
Aprueba,Ninguno / Independiente,veo,5.58912
Aprueba,Centro Derecha / Derecha,publicas,5.56427
Aprueba,Ninguno / Independiente,personas,5.54296
Aprueba,Centro Izquierda / Izquierda,educacion,5.46481
Aprueba,Ninguno / Independiente,crecimiento,5.41829
Aprueba,Ninguno / Independiente,aumento,5.38991
Aprueba,Centro Derecha / Derecha,dejo,5.32337
Aprueba,Centro Izquierda / Izquierda,gusta,5.32022
Aprueba,Centro Derecha / Derecha,ayuda,5.29862
Aprueba,Centro Derecha / Derecha,tomado,5.29163
Aprueba,Centro,estabilidad,5.23078
Aprueba,Centro,manejo,5.21229
Aprueba,Centro Derecha / Derecha,reactivacion,5.19793
Aprueba,Ninguno / Independiente,preocupando,5.17857
Aprueba,Centro Derecha / Derecha,adulto,5.14377
Aprueba,Centro Derecha / Derecha,dura,5.14181
Aprueba,Centro Derecha / Derecha,ido,5.11028
Aprueba,Centro Izquierda / Izquierda,cambio,5.022
Aprueba,Centro Derecha / Derecha,niños,5.00436
