aprobacion_presidencial,tendencia,word,n
Desaprueba,Centro Izquierda / Izquierda,politica,99.1536
Desaprueba,Centro Izquierda / Izquierda,gobierno,56.36877
Desaprueba,Centro Izquierda / Izquierda,promesas,54.31421
Desaprueba,Centro Izquierda / Izquierda,economia,48.79496
Desaprueba,Ninguno / Independiente,gusta,45.42934
Desaprueba,Ninguno / Independiente,promesas,38.59281
Desaprueba,Centro Izquierda / Izquierda,educacion,38.52771
Desaprueba,Centro Izquierda / Izquierda,empleo,36.58008
Desaprueba,Ninguno / Independiente,delincuencia,35.52904
Desaprueba,Centro Izquierda / Izquierda,gestion,34.87544
Desaprueba,Ninguno / Independiente,empleo,29.62055
Desaprueba,Centro Izquierda / Izquierda,gusta,29.57077
Desaprueba,Ninguno / Independiente,sueldos,29.12041
Desaprueba,Ninguno / Independiente,salud,26.40395
Desaprueba,Ninguno / Independiente,educacion,26.1152
Desaprueba,Ninguno / Independiente,politica,25.85125
Desaprueba,Ninguno / Independiente,gobierno,25.3616
Desaprueba,Centro Izquierda / Izquierda,leyes,25.16142
Desaprueba,Centro Izquierda / Izquierda,reformas,24.89883
Desaprueba,Centro Izquierda / Izquierda,forma,23.68496
Desaprueba,Centro Izquierda / Izquierda,empresas,23.58503
Desaprueba,Centro Izquierda / Izquierda,delincuencia,22.59696
Desaprueba,Centro,gobierno,22.43155
Desaprueba,Centro Izquierda / Izquierda,salud,22.06934
Desaprueba,Centro Izquierda / Izquierda,ministro,21.89379
Desaprueba,Centro Izquierda / Izquierda,falta,21.34469
Desaprueba,Ninguno / Independiente,presidente,20.06484
Desaprueba,Ninguno / Independiente,leyes,19.8688
Desaprueba,Ninguno / Independiente,inmigracion,19.59165
Desaprueba,Centro Izquierda / Izquierda,manejo,19.46927
Desaprueba,Centro Derecha / Derecha,promesas,18.70082
Desaprueba,Centro Izquierda / Izquierda,empresariado,18.01516
Desaprueba,Centro Izquierda / Izquierda,mala,17.5921
Desaprueba,Ninguno / Independiente,cumplido,16.88749
Desaprueba,Ninguno / Independiente,economia,16.60207
Desaprueba,Centro Izquierda / Izquierda,siento,16.5263
Desaprueba,Centro Izquierda / Izquierda,proyecto,16.41512
Desaprueba,Centro Izquierda / Izquierda,social,15.96575
Desaprueba,Centro Derecha / Derecha,politica,14.99152
Desaprueba,Centro Izquierda / Izquierda,cumplido,14.89594
Desaprueba,Centro Izquierda / Izquierda,personas,14.55206
Desaprueba,Centro Izquierda / Izquierda,jubilacion,14.54064
Desaprueba,Ninguno / Independiente,cambio,14.27853
Desaprueba,Ninguno / Independiente,jubilacion,14.11712
Desaprueba,Centro Izquierda / Izquierda,inmigracion,13.84519
Desaprueba,Centro Izquierda / Izquierda,derechos,13.41128
Desaprueba,Centro Izquierda / Izquierda,quintero,13.38204
Desaprueba,Ninguno / Independiente,ve,13.36639
Desaprueba,Centro Izquierda / Izquierda,derecha,13.17825
Desaprueba,Ninguno / Independiente,falta,12.90627
Desaprueba,Ninguno / Independiente,empresas,12.63514
Desaprueba,Centro Izquierda / Izquierda,cosa,12.52146
Desaprueba,Centro Izquierda / Izquierda,sueldos,12.28532
Desaprueba,Centro,falta,12.24344
Desaprueba,Centro Izquierda / Izquierda,cumple,11.9853
Desaprueba,Centro Derecha / Derecha,gobierno,11.74377
Desaprueba,Ninguno / Independiente,99,11.69346
Desaprueba,Ninguno / Independiente,problemas,11.69297
Desaprueba,Ninguno / Independiente,mala,11.55522
Desaprueba,Centro Derecha / Derecha,cambio,11.49332
Desaprueba,Centro Derecha / Derecha,cumplido,11.46049
Desaprueba,Centro Izquierda / Izquierda,presidente,11.28009
Desaprueba,Ninguno / Independiente,cumple,11.15194
Desaprueba,Ninguno / Independiente,sociales,11.14348
Desaprueba,Centro Izquierda / Izquierda,veo,10.8529
Desaprueba,Centro Izquierda / Izquierda,clase,10.8258
Desaprueba,Centro,empleo,10.75976
Desaprueba,Centro Derecha / Derecha,leyes,10.70928
Desaprueba,Centro Izquierda / Izquierda,cambio,10.70581
Desaprueba,Ninguno / Independiente,empresariado,10.65571
Desaprueba,Centro Izquierda / Izquierda,sociales,10.59205
Desaprueba,Ninguno / Independiente,veo,10.56866
Desaprueba,Ninguno / Independiente,visto,10.09253
Desaprueba,Ninguno / Independiente,clase,9.74784
Desaprueba,Centro,promesas,9.64521
Desaprueba,Ninguno / Independiente,laboral,9.11113
Desaprueba,Centro Izquierda / Izquierda,humanos,9.0875
Desaprueba,Ninguno / Independiente,personas,9.07167
Desaprueba,Centro Izquierda / Izquierda,iba,9.03662
Desaprueba,Centro Izquierda / Izquierda,publicas,8.91532
Desaprueba,Centro,economia,8.76787
Desaprueba,Centro,educacion,8.75691
Desaprueba,Centro Izquierda / Izquierda,problemas,8.68208
Desaprueba,Centro Derecha / Derecha,inmigracion,8.56094
Desaprueba,Ninguno / Independiente,pobres,8.48343
Desaprueba,Ninguno / Independiente,forma,8.46983
Desaprueba,Centro,politica,8.45877
Desaprueba,Ninguno / Independiente,iba,8.41539
Desaprueba,Ninguno / Independiente,pobre,8.41411
Desaprueba,Centro Izquierda / Izquierda,decision,8.40345
Desaprueba,Centro Derecha / Derecha,empleo,8.3955
Desaprueba,Ninguno / Independiente,plata,8.37294
Desaprueba,Ninguno / Independiente,desapruebo,8.36178
Desaprueba,Ninguno / Independiente,minimo,8.31232
Desaprueba,Centro Izquierda / Izquierda,desarrollo,8.30432
Desaprueba,Ninguno / Independiente,persona,8.27516
Desaprueba,Centro Izquierda / Izquierda,tributaria,8.23207
Desaprueba,Centro Izquierda / Izquierda,ladron,8.22253
Desaprueba,Centro,gusta,8.02184
Desaprueba,Centro Derecha / Derecha,economia,8.00819
Desaprueba,Centro Izquierda / Izquierda,persona,7.94431
Desaprueba,Ninguno / Independiente,mandato,7.89318
Desaprueba,Centro Izquierda / Izquierda,pueblo,7.87513
Desaprueba,Ninguno / Independiente,reformas,7.71504
Desaprueba,Centro Izquierda / Izquierda,aumento,7.70418
Desaprueba,Centro Izquierda / Izquierda,visto,7.59704
Desaprueba,Centro Izquierda / Izquierda,recursos,7.58313
Desaprueba,Centro Izquierda / Izquierda,campaña,7.53704
Desaprueba,Ninguno / Independiente,casa,7.39351
Desaprueba,Centro Izquierda / Izquierda,empresario,7.36169
Desaprueba,Centro Izquierda / Izquierda,mapuche,7.29795
Desaprueba,Ninguno / Independiente,genero,7.15316
Desaprueba,Ninguno / Independiente,subir,7.08946
Desaprueba,Centro,gestion,7.04303
Desaprueba,Centro Izquierda / Izquierda,minimo,6.98923
Desaprueba,Centro Izquierda / Izquierda,medidas,6.92097
Desaprueba,Ninguno / Independiente,siento,6.88966
Desaprueba,Ninguno / Independiente,chilenos,6.86109
Desaprueba,Centro,empresas,6.83782
Desaprueba,Centro Izquierda / Izquierda,cargo,6.77907
Desaprueba,Ninguno / Independiente,està,6.68661
Desaprueba,Centro Izquierda / Izquierda,beneficios,6.6811
Desaprueba,Centro,delincuencia,6.6467
Desaprueba,Centro Izquierda / Izquierda,araucania,6.63197
Desaprueba,Centro Derecha / Derecha,forma,6.63092
Desaprueba,Centro Izquierda / Izquierda,media,6.61157
Desaprueba,Ninguno / Independiente,concreto,6.54227
Desaprueba,Centro Izquierda / Izquierda,aborto,6.53732
Desaprueba,Centro,leyes,6.5135
Desaprueba,Centro Izquierda / Izquierda,pobre,6.50815
Desaprueba,Centro Izquierda / Izquierda,problema,6.49641
Desaprueba,Centro Izquierda / Izquierda,caso,6.42735
Desaprueba,Centro Izquierda / Izquierda,realidad,6.42112
Desaprueba,Centro Izquierda / Izquierda,piñera,6.31186
Desaprueba,Ninguno / Independiente,edad,6.20986
Desaprueba,Centro Izquierda / Izquierda,corrupto,6.11354
Desaprueba,Centro Izquierda / Izquierda,mentiroso,6.01604
Desaprueba,Ninguno / Independiente,derechos,6.00632
Desaprueba,Ninguno / Independiente,bajos,5.95228
Desaprueba,Ninguno / Independiente,adulto,5.86922
Desaprueba,Centro Izquierda / Izquierda,ayuda,5.79524
Desaprueba,Centro Izquierda / Izquierda,toma,5.74495
Desaprueba,Ninguno / Independiente,mano,5.71255
Desaprueba,Ninguno / Independiente,manejo,5.70824
Desaprueba,Ninguno / Independiente,dura,5.70131
Desaprueba,Centro Izquierda / Izquierda,conflicto,5.70072
Desaprueba,Centro Izquierda / Izquierda,ambiente,5.69679
Desaprueba,Centro Izquierda / Izquierda,comunicacional,5.69235
Desaprueba,Ninguno / Independiente,quintero,5.64363
Desaprueba,Centro Izquierda / Izquierda,malo,5.63791
Desaprueba,Ninguno / Independiente,pesos,5.62063
Desaprueba,Centro Derecha / Derecha,gusta,5.60958
Desaprueba,Ninguno / Independiente,pueblo,5.60509
Desaprueba,Centro Izquierda / Izquierda,laboral,5.59049
Desaprueba,Centro Izquierda / Izquierda,tenia,5.59006
Desaprueba,Ninguno / Independiente,ricos,5.57243
Desaprueba,Centro Izquierda / Izquierda,comparto,5.56354
Desaprueba,Ninguno / Independiente,ayuda,5.54209
Desaprueba,Centro Derecha / Derecha,educacion,5.52154
Desaprueba,Centro,salud,5.51771
Desaprueba,Ninguno / Independiente,decision,5.47757
Desaprueba,Centro Izquierda / Izquierda,claridad,5.47448
Desaprueba,Centro,anuncios,5.4637
