zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Regiones,Centro,18-34,Hombre,Aprueba,99,2.10572
Regiones,Centro,18-34,Hombre,Aprueba,aestoy,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,aghradan,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,amedia,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,anteriores,1.01845
Regiones,Centro,18-34,Hombre,Aprueba,apollado,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,aprovando,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,areglada,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,canbio,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,canbios,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,capitalismo,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,centre,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,chile,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,comercio,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,comparando,1.01845
Regiones,Centro,18-34,Hombre,Aprueba,conlos,1.01845
Regiones,Centro,18-34,Hombre,Aprueba,cumple,1.05479
Regiones,Centro,18-34,Hombre,Aprueba,decirme,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,economia,2.44333
Regiones,Centro,18-34,Hombre,Aprueba,educacion,2.07204
Regiones,Centro,18-34,Hombre,Aprueba,empresas,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,esdas,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,esperar,1.05479
Regiones,Centro,18-34,Hombre,Aprueba,gobierno,1.01845
Regiones,Centro,18-34,Hombre,Aprueba,gratuidad,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,gusta,2.53035
Regiones,Centro,18-34,Hombre,Aprueba,gustando,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,ido,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,manejo,1.33507
Regiones,Centro,18-34,Hombre,Aprueba,mcujhhio,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,olvida,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,parientes,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,patas,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,politica,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,principio,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,propuestas,2.10958
