aprobacion_presidencial,word,n
Aprueba,economia,235.70147
Aprueba,gobierno,122.97971
Aprueba,inmigracion,104.23582
Aprueba,politica,77.31144
Aprueba,gusta,73.96674
Aprueba,gestion,71.10928
Aprueba,cambio,57.69518
Aprueba,presidente,53.14056
Aprueba,delincuencia,42.85252
Aprueba,empleo,39.75065
Aprueba,leyes,38.16396
Aprueba,educacion,37.95195
Aprueba,99,36.40445
Aprueba,proyecto,33.80115
Aprueba,seguridad,32.42435
Aprueba,tratando,30.17372
Aprueba,orden,29.75234
Aprueba,estabilidad,27.99824
Aprueba,reformas,26.51044
Aprueba,persona,26.45054
Aprueba,promesas,25.20162
Aprueba,visto,24.91084
Aprueba,forma,24.88535
Aprueba,ideas,24.83205
Aprueba,empresas,24.72501
Aprueba,derecha,23.74451
Aprueba,chile,22.90062
Aprueba,ve,22.21393
Aprueba,manejo,21.67997
Aprueba,personas,21.48018
Aprueba,salud,20.46875
Aprueba,empresariado,20.00561
Aprueba,piñera,19.33514
Aprueba,mejorado,17.97551
Aprueba,confianza,17.73475
Aprueba,medidas,17.24094
Aprueba,hombre,17.09986
Aprueba,mejorar,16.65337
Aprueba,media,16.60339
Aprueba,crecimiento,16.40127
Aprueba,ayuda,16.20754
Aprueba,aumento,15.59932
Aprueba,nivel,15.59206
Aprueba,echo,15.55087
Aprueba,problemas,15.41409
Aprueba,laboral,15.17995
Aprueba,bachelet,13.92911
Aprueba,tributaria,13.90443
Aprueba,clase,13.41676
Aprueba,años,13.23946
Aprueba,social,13.03849
Aprueba,veo,12.96415
Aprueba,decision,12.92242
Aprueba,apoyo,12.49505
Aprueba,sueldos,12.43133
Aprueba,oportunidades,12.42076
Aprueba,empresario,12.30252
Aprueba,situacion,12.26053
Aprueba,dando,11.85821
Aprueba,preocupando,11.1995
Aprueba,niños,11.00469
Aprueba,partido,10.96402
Aprueba,periodo,10.72826
Aprueba,jubilacion,10.72511
Aprueba,malo,10.65113
Aprueba,aca,10.54166
Aprueba,realidad,10.41537
Aprueba,considero,10.37384
Aprueba,izquierda,10.07565
Aprueba,edad,10.00387
Aprueba,tranquilidad,9.9828
Aprueba,familia,9.71644
Aprueba,asunto,9.71482
Aprueba,gusto,9.64008
Aprueba,importante,9.5739
Aprueba,arreglar,9.44157
Aprueba,año,9.39779
Aprueba,preocupa,9.39578
Aprueba,vote,9.33291
Aprueba,opinion,9.3274
Aprueba,meses,9.30471
Aprueba,tomado,9.29948
Aprueba,està,9.07157
Aprueba,dejo,9.03876
Aprueba,propuestas,8.92058
Aprueba,mandato,8.78993
Aprueba,mejorando,8.76363
Aprueba,ayudar,8.74792
Aprueba,darle,8.60794
Aprueba,cosa,8.58585
Aprueba,relacion,8.06891
Aprueba,tanta,8.06322
Aprueba,carabineros,8.03319
Aprueba,noticias,8.02917
Aprueba,preocupado,7.9215
Aprueba,llevado,7.85569
Aprueba,mano,7.8327
Aprueba,corto,7.69947
Aprueba,inteligente,7.69407
Aprueba,ido,7.6657
Aprueba,aprueba,7.65032
Aprueba,presidenta,7.57158
Aprueba,tomando,7.33327
Aprueba,sociedad,7.25223
Aprueba,poniendo,7.24686
Aprueba,publicas,7.17626
Aprueba,pienso,7.09776
Aprueba,control,7.096
Aprueba,nota,7.06367
Aprueba,vienen,7.04357
Aprueba,casa,7.00757
Aprueba,fuentes,6.95553
Aprueba,reactivacion,6.92986
Aprueba,laborales,6.89303
Aprueba,mejora,6.77291
Aprueba,maneja,6.76559
Aprueba,sistema,6.69939
Aprueba,siento,6.63903
Aprueba,principal,6.62372
Aprueba,campaña,6.61647
Aprueba,gustado,6.61372
Aprueba,país,6.61121
Aprueba,inversion,6.60918
Aprueba,situaciones,6.53626
Aprueba,genero,6.47309
Aprueba,apruebo,6.4728
Aprueba,malas,6.45957
Aprueba,manejar,6.44554
Aprueba,paso,6.44236
Aprueba,adulto,6.43899
Aprueba,cargo,6.41791
Aprueba,poquito,6.361
Aprueba,ordenado,6.29213
Aprueba,lento,6.25926
Aprueba,escuchado,6.25123
Aprueba,plata,6.22389
Aprueba,beneficios,6.12637
Aprueba,sociales,6.01645
Aprueba,mayores,6.00432
Aprueba,beneficio,5.96019
Aprueba,idea,5.91575
Aprueba,pasa,5.91476
Aprueba,equipo,5.91456
Aprueba,programa,5.88223
Aprueba,dura,5.84187
Aprueba,comparacion,5.83293
Aprueba,publica,5.79013
Aprueba,comercio,5.75014
Aprueba,recien,5.65694
Aprueba,generando,5.62515
Aprueba,rapido,5.60419
Aprueba,tratado,5.59571
